English,inuktitut
"""How are you?"" ""I am fine, thank you."""," , ""ᖃᓄᕐᓕ?"" , ""ᖃᓄᐃᙱᑦᑐᖓ, , ᖁᔭᓐᓇᒦᒃ."""
"""How much did you pay for this?"" ""About 20 euros."" ""Wow! That's incredibly cheap."""," , ""ᖃᓄᑎᒋ , ᐊᑭᓖᓚᐅᖅᐱᑦ , ᑖᔅᓱᒧᖓ?"" , ""20-ᓂᒃ , 20-ᓂᒃ , 20-ᓂᒃ. , ""ᐊᑏ! , ᐊᑭᑭᑦᑐᑯᓘᖕᒪᑦ."""
"""How much is this camera worth?"" ""About 100 dollars."""," , ""ᖃᓄᑎᒋ , ᑖᓐᓇ , ᐊᔾᔨᓕᐅᕈᑦ , ᐊᑑᑎᖃᖅᐸ?"" , ""100 , ᑖᓚᔅ."""
"""How much is this handkerchief?"" ""It is ninety-five cents."""," , ""ᖃᓄᑎᒋ , ᑖᓐᓇ , ᐊᒡᒐᖕᒧᑦ , ᐱᓲᑎᖃᖅᐸ?"" , ""95-ᓴᐅᔪᖅ."""
"""How old are you?"" ""Why do you want to know?"""," , ""ᖃᔅᓯᓂᒃ , ᐅᑭᐅᖃᖅᐱᑦ?"" , ""ᖃᓄᐃᒻᒪᑦ , ᖃᐅᔨᔪᒪᕕᑦ?"""
"""I agree with him."" ""So do I."""," , ""ᐊᖏᖃᑎᒋᕙᕋ."" , ""ᐅᕙᖓ."""
"""I am a teacher."" ""So am I."""," , ""ᐃᓕᓴᐃᔨᐅᔪᖓ."" , ""ᐅᕙᖓ."""
"""I like Tom."" ""I don't."""," , ""ᑖᒻ , ᐱᐅᒋᔭᕋ."" , ""ᑕᐃᒪᐃᙱᑦᑐᖓ."""
"""I saw her five days ago,"" he said."," , ""ᐅᓪᓗᑦ , ᑕᓪᓕᒪᑦ , ᐊᓂᒍᖅᑐᑦ , ᑕᑯᓚᐅᖅᑕᕋ,"" , ᐅᖃᖅᖢᓂ."
"""I work in Boston."" ""I work in Boston, too."""," , ""ᐃᖅᑲᓇᐃᔭᖅᑐᖓ , ᐹᔅᑕᓐᒥ."" , ""ᐃᖅᑲᓇᐃᔭᓲᖑᒻᒥᔪᖓ , ᐹᔅᑕᓐᒥ."".1"
"""I'll be back in a minute,"" he added."," , ""ᐅᑎᓚᐅᑲᖕᓂᐊᖅᐳᖓ,"" , ᐅᖃᖅᖢᓂ."
"""I'm from Boston. Where are you from?"" ""I'm from Chicago."""," , "" , ᐹᔅᑕᓐᒥᙶᖅᑐᖓ. , ᓇᑭᙶᖅᐱᑦ?"" , ""ᓯᑳᒍᒦᙶᖅᑐᖓ."""
"""Is she reading a book?"" ""Yes, she is."""," , ""ᐅᖃᓕᒫᒐᕐᒥᒃ , ᐅᖃᓕᒫᖅᐸ?"" , ""ᐄ, , ᑕᐃᒪᐃᑉᐳᖅ."""
"""Is she young?"" ""Yes, she is."""," , ""ᒪᒃᑯᒃᑐᑯᓘᕚ?"" , ""ᐄ, , ᑕᐃᒪᐃᑉᐳᖅ."""
"""Is there a book on the chair?"" ""Yes, there is."""," , ""ᐃᒃᓯᕙᐅᑕᐅᑉ , ᐅᖃᓕᒫᒐᖓᑕᖃᖅᐹ?"" , ""ᐄ, , ᐱᑕᖃᖅᑐᖅ."""
"""Look,"" she said."," , ""ᑕᑯᒋᑦ,"" , ᐅᖃᖅᖢᓂ."
"""May I borrow this pen?"" ""Sure, go ahead."""," , ""ᑖᓐᓇ , ᑎᑎᕋᐅᑦ , ᐊᑐᕈᓐᓇᖅᐸᕋ?"" , ""ᐊᑏ, , ᐊᑏ."""
"""May I go with you?"" ""Of course."""," , ""ᐱᖃᑎᒋᔪᓐᓇᖅᐸᒋᑦ?"" , ""ᐊᒃᓱᐊᓗᒃ."""
"""May I use your dictionary?"" ""By all means."""," , ""ᐊᑐᕈᓐᓇᖅᐸᒋᑦ , ᐅᖃᐅᓰᑦ , ᑐᑭᖏᑦ?"" , ""ᑕᒪᕐᒥᑦᑎᐊᖅ , ᑐᑭᖃᖅᐳᑦ."""
"""Natto"" smells awful, but tastes delicious."," , ""ᓇᑦᑎ"" , ᑎᐱᖃᑦᑎᐊᖅᑐᖅ, , ᑭᓯᐊᓂ , ᒪᒪᖅᑐᖅ."
"""Nigger"" is an offensive word."," , ""ᓂᒡᔪ"" , ᐅᖃᐅᓯᑦᑎᐊᕙᐅᙱᑦᑐᖅ."
"""Tatoeba"" means ""for example"" in Japanese."," , ""Tatoeba"" , ᑐᑭᖃᖅᐳᖅ , ""ᐆᒃᑑᑎᒋᓗᒍ"" , ᔭᐸᓃᓯᒥ."
"""Thank you for helping me."" ""Don't mention it."""," , ""ᖁᔭᓐᓇᒦᒃ , ᐃᑲᔪᕋᕕᖓ."" , ""ᐅᖃᐅᓯᕆᙱᓪᓗᒍ."""
"""Thank you for your help."" ""It's my pleasure."""," , ""ᖁᔭᓐᓇᒦᒃ , ᐃᑲᔪᕈᓐᓇᕋᕕᑦ."" , ""ᐊᓕᐊᓇᐃᒍᓱᒃᐳᖓ."""
"""Thank you."" ""You're welcome."""," , ᖁᔭᓐᓇᒦᒃ."" , ""ᑐᙵᓱᒃᑎᑕᐅᕗᑎᑦ."""
"""Thanks."" ""You're welcome."""," , ᖁᔭᓐᓇᒦᒃ."" , ""ᑐᙵᓱᒃᑎᑕᐅᕗᑎᑦ."""
"""The accused"" is a legal term."," , ""ᐸᓯᔭᖅ"" , ᒪᓕᒐᖅᑎᒍᑦ , ᑕᐃᒍᓯᐅᕗᖅ."
"""Tom was the one who broke the window."" ""It figures. He's very careless."""," , ""ᑖᒻ , ᐃᒐᓛᕐᒥᒃ , ᓱᕋᐃᓚᐅᖅᑐᖅ."" , ""ᓈᓴᐅᑎᐅᔪᖅ. , ᐅᔾᔨᖅᓱᑦᑎᐊᙱᖦᖢᓂ."""
"""Tom, what are you doing?"" ""Nothing."""," , ""ᑕᐃᒪᓕ, , ᖃᓄᐃᓕᐅᖅᐱᑦ?"" , ""ᐋᒃᑲ."""
"""Was Tom drunk?"" ""Probably not."""," , "" , ᑖᒻ , ᐋᖓᔮᖅᐸ?"" , ""ᑕᐃᒪᐃᙱᑐᐃᓐᓇᕆᐊᓕᒃ."""
"""What are you trying to hide?"" ""Nothing."""," , ""ᑭᓱᒥᒃ , ᐃᔨᖅᓯᒪᓇᓱᒃᐱᑦ?"" , ""ᐋᒃᑲ."""
"""What did you talk about?"" ""Nothing."""," , ""ᑭᓱᒥᒃ , ᐅᖃᐅᓯᖃᓚᐅᖅᐱᑦ?"" , ""ᐋᒃᑲ."""
"""What do you have in your hands?"" ""Nothing."""," , ""ᑭᓱᓂᒃ , ᐱᓯᒪᕕᑦ?"" , ""ᐋᒃᑲ."""
"""What do you want?"" ""I want a dog."""," , ""ᑭᓱᒥᒃ , ᐱᔪᒪᕕᑦ?"" , ""ᕿᒻᒥᖃᕈᒪᔪᖓ."""
"""What time is it?"" ""It's 3:20."""," , ""ᖃᖓᐅᕙ?"" , ""3:20-ᖓ."""
"""What was that?"" ""Nothing."""," , ""ᖃᓅᓚᐅᖅᐸ?"" , ""ᐋᒃᑲ."""
"""What were you two talking about?"" ""Nothing."""," , ""ᑭᓱᒥᒃ , ᐅᖃᐅᓯᖃᖅᑲᐅᕕᑦ?"" , ""ᐋᒃᑲ."""
"""What's going on in the cave? I'm curious."" ""I have no idea."""," , ""ᖃᓄᐃᓕᐅᓕᖅᐸᑦ , ᑳᐱᑐᕐᕕᒻᒥ? , ᖃᐅᔨᔪᒪᔪᖓ."" , ""ᓇᓗᔪᖓ."""
"""What's in that box?"" ""Nothing."""," , ""ᑭᓱᓂᒃ , ᑕᕝᕙᓂ , ᑭᑉᐹᕆᒃᑐᒦᑉᐸ?"" , ""ᐋᒃᑲ."""
"""When do you get up?"" ""At 8 in the morning."""," , ""ᖃᖓᒃᑯᑦ , ᒪᑭᓐᓇᔭᖅᐱᑦ?"" , ""8-ᒥ , ᐅᓪᓛᒃᑯᑦ."""
"""When will you be back?"" ""It all depends on the weather."""," , ""ᖃᖓ , ᐅᑎᓛᖅᐱᑦ?"" , ""ᑕᒪᕐᒥᑦᑎᐊᖅ , ᓯᓚᒥᒃ , ᒪᓕᖃᑦᑕᖅᐳᑦ."""
"""Where do you live?"" ""I live in Tokyo."""," , ""ᓇᒥ , ᓄᓇᖃᖅᐱᑦ?"" , ""ᐅᕙᓂᕐᒥᐅᑕᐅᔪᖓ."""
"""Where is your house?"" ""It is over there."""," , ""ᓇᒦᑉᐸ , ᐃᒡᓗᓯ?"" , ""ᐊᕙᓂᖔᖅ."""
"""Who is it?"" ""It's me."""," , ""ᑭᓇᐅᖕᒪᑦ?"" , ""ᐅᕙᖓ."""
"""Who is it?"" ""It's your mother."""," , ""ᑭᓇᐅᖕᒪᑦ?"" , ""ᐊᓈᓇᒋᒐᕕᐅᒃ."""
"""Why aren't you going?"" ""Because I don't want to."""," , ""ᖃᓄᐃᒻᒪᑦ , ᑕᐃᒪᐃᙱᓚᑎᑦ?"" , ""ᑕᐃᒪᐃᒍᒪᙱᓐᓇᒪ."""
"""Why didn't you tell me anything?"" ""I didn't want to upset you."""," , ""ᖃᓄᐃᒻᒪᑦ , ᐅᖃᐅᑎᓚᐅᙱᑉᐱᖓ?"" , ""ᖁᕕᐊᓱᒍᒪᖅᑲᐅᙱᓐᓇᒃᑭᑦ."""
"""Will you have another cup of coffee?"" ""No, thank you."""," , ""ᐃᕐᙳᓯᒃᑲᓐᓂᕐᒥᒃ , ᑳᐱᑐᒃᑲᓐᓂᕐᓂᐊᖅᐱᑦ?"" , ""ᐋᒃᑲ, , ᖁᔭᓐᓇᒦᒃ."""
"""Will you study after dinner?"" ""Yes, I will."""," , ""ᐃᓕᓐᓂᐊᕐᓂᐊᖅᐲᑦ , ᓂᕆᐊᓂᒃᑯᕕᑦ?"" , ""ᐄ, , ᑕᐃᒪᐃᓐᓂᐊᖅᑐᖓ."""
"""Would you mind helping me with my work?"" ""Not at all."""," , ""ᐃᓱᒪᒋᓇᔭᖅᐱᖓ , ᐃᑲᔪᕆᐊᒃᓴᖅ , ᐃᖅᑲᓇᐃᔮᓐᓄᑦ?"" , ""ᐋᒃᑲᑦᑎᐊᖅ."""
"""You look pale. Are you sick?"" ""Not exactly."""," , ""ᑕᐅᑐᖅᑰᔨᒍᕕᑦ. , ᖃᓂᒪᕖᑦ?"" , ""ᐋᒃᑲᑦᑎᐊᖅ."""
"""You speak French well."" ""I'm not as fluent as you are."""," , ""ᐅᐃᕖᑎᑐᑦ , ᐅᖃᕈᓐᓇᑦᑎᐊᖅᑐᑎᑦ."" , ""ᐅᖃᕈᓐᓇᑦᑎᐊᙱᓐᓇᒪ , ᐃᕝᕕᑎᑐᑦ."""
2539 is a prime number.," , 2539 , ᓈᓴᐅᑎᓪᓗᐊᑕᐅᔪᖅ."
3 to the third power is 27.," , 3-ᒥᑦ , 3-ᒧᑦ , ᓴᙱᓂᖅ , 27-ᖑᕗᖅ."
"400,000 gallons of oil have spilled out of the pipeline."," , 400,000 , ᖔᓚᓂᑦ , ᐅᖅᓱᖅᑎᕈᑎᓯᒪᔪᑦ , ᓱᓪᓗᓕᖕᒥᑦ."
5 is less than 8.," , 5 , 8 , ᑐᖔᓂ."
92 minus 9 is 83.," , 92 , ᒥᓂᑦ , 9 , 83-ᐅᕗᖅ."
A Canadian would never do such a thing.," , ᑲᓇᑕᒥᐅᑦ , ᑕᐃᒪᐃᓕᐅᓚᐅᖅᓯᒪᓇᔭᙱᑦᑐᑦ."
A DNA test showed he was innocent.," , ᑭᓇᐅᔾᔪᑎᖓᓂᒃ , ᖃᐅᔨᓴᕐᓂᖅ , ᑕᑯᑎᑦᑎᓪᓗᓂ , ᖃᐅᔨᒪᙱᖦᖢᓂ."
A Ford car costs less than a Mercedes Benz.," , ᓄᓇᓯᐅᑎᐅᑉ , ᐊᑭᖓ , ᐊᑭᑭᓐᓂᖅᓴᐅᕗᖅ , ᐊᕕᒃᓯᕕᖕᓂᑦ , ᐱᐊᓐᔅᒥᑦ."
A Mr. Jackson has come to see you.," , ᒥᔅᑕ , ᔮᒃᓴᓐ , ᖃᐃᓯᒪᒻᒪᑦ , ᐃᓕᓐᓂᒃ."
A baby is sleeping in the cradle.," , ᓄᑕᕋᓛᖅ , ᓯᓂᒃᑐᖅ , ᐃᒡᓕᐊᕐᒥ."
A bad smell permeated the room.," , ᑎᐱᕐᓗᒃᑐᖅ , ᐃᒡᓗᕈᓯᕐᒥᑦ."
A bad workman always blames his tools.," , ᐃᖅᑲᓇᐃᔭᑲᒻᒪᒃᑐᓕᕆᔨ , ᐸᓯᑦᓯᖏᓐᓇᓲᖅ , ᓴᓇᕐᕈᑎᒥᓂᒃ."
A ball hit the back of my head while I was playing soccer.," , ᐊᖅᓴᖅ , ᓂᐊᖁᕐᒪ , ᑐᓄᐊᓄᐊᕐᒪᑦ , ᐊᕿᖃᑕᐅᑎᓪᓗᖓ."
A bat is no more a bird than a rat is.," , ᐊᓇᖅ , ᑎᖕᒥᐊᖑᔪᓐᓃᖅᑐᖅ."
"A bat is not a bird, but a mammal."," , ᐊᓇᖅ , ᑎᒻᒥᐊᖑᖏᑦᑐᖅ, , ᑭᓯᐊᓂ , ᐆᒪᔪᖅ."
A bead of sweat trickled down Tom's face.," , ᓴᐸᖓᔮᖅᑐᖅ , ᐊᐅᒪᔮᖅᖢᓂ , ᑖᒻ , ᑮᓇᖓ."
A bear can climb a tree.," , ᓇᓄᕐᒥᒃ , ᒪᔪᖅᑐᖃᕈᓐᓇᖅᐳᖅ , ᓇᐹᖅᑐᒥᒃ."
A bear can climb trees.," , ᓇᓄᕐᒥᒃ , ᒪᔪᖅᑐᖃᕈᓐᓇᖅᐳᖅ , ᓇᐹᖅᑐᓂᒃ."
"A beer, please."," , ᐱᐊᒥᒃ, , ᐊᑏ."
A big typhoon is approaching.," , ᐊᖏᔪᐊᓗᒃ , typhoon-ᒥᒃ , ᑎᑭᑉᐸᓪᓕᐊᔪᖅ."
A big wave turned over his canoe.," , ᒪᓪᓕᕐᔪᐊᓚᐅᖅᑐᖅ , ᖃᔭᕆᐊᖓᓄᐊᖅᖢᓂ."
A bird in the hand is better than two in the bush.," , ᑎᒻᒥᐊᖅ , ᐊᒡᒐᒥ , ᐱᐅᓂᖅᓴᐅᕗᖅ , ᒪᕐᕉᓗᐊᖅᑑᓐᓂᒃ."
A bird in the hand is worth two in the bush.," , ᑎᖕᒥᐊᖅ , ᐊᒡᒐᒃᓯᒪᔪᖅ , ᒪᕐᕉᓪᓗᐊᖅᑐᖅ , ᐸᓯᒥ."
A bird was flying in the sky.," , ᑎᖕᒥᐊᒥᒃ , ᖃᖓᑕᔪᖃᓚᐅᖅᑐᖅ , ᖃᖓᑕᓪᓗᓂ."
A black and white dog bit me.," , ᕿᕐᓂᖅᑐᖅ , ᐊᒻᒪ , ᖃᐅᓪᓗᖅᑐᖅ , ᕿᒻᒥᖅ , ᑮᔭᐅᓪᓗᖓ."
A black dog is lying under the table.," , ᕿᕐᓂᖅᑐᖅ , ᕿᒻᒥᖅ , ᓵᑉ , ᐊᑖᒎᖅᑐᖅ."
A bomb was all we needed.," , ᖄᖅᑎᑦᑎᖃᑦᑕᕐᓂᖅ , ᐱᔭᕆᐊᖃᑐᐃᓐᓇᓚᐅᖅᑕᕗᑦ."
A book dropped from the shelf.," , ᐅᖃᓕᒫᒐᕐᒥᑦ , ᑲᑕᑦᓯᔪᖃᓚᐅᖅᑐᖅ , ᖁᓕᕈᐊᕐᒥᑦ."
A book is lying on the desk.," , ᐅᖃᓕᒫᒐᖅ , ᓵᒦᖦᖢᓂ."
A boy and a girl are sitting on the fence.," , ᓄᑲᑉᐱᐊᖅ , ᐊᕐᓇᕐᓗ , ᐃᒃᓯᕚᖅᑑᒃ , ᐊᕙᓗᒥ."
A boy like Tom doesn't deserve a girl like Mary.," , ᓄᑲᑉᐱᐊᖅ , ᑖᒻᑎᑐᑦ , ᐊᕐᓇᑎᑐᑦ , ᒥᐊᓕᑎᑐᑦ , ᐱᔭᕆᐊᖃᙱᑦᑐᖅ."
A bright idea occurred to me.," , ᐃᓱᒪᑦᑎᐊᕚᓗᒃ , ᓴᖅᑭᓚᐅᖅᑐᖅ , ᐅᕙᓐᓄᑦ."
A bright red ladybug landed on my fingertip.," , ᐊᐅᐸᖅᑐᖅ , ᐊᕐᓇᖅ , ᒥᖦᖢᓂ , ᐊᒡᒐᓐᓄᑦ."
A bunch of people died in the explosion.," , ᐊᒥᓱᑦ , ᐃᓄᐃᑦ , ᑐᖁᓚᐅᖅᑐᑦ , ᖄᖅᑎᑦᑎᑎᓪᓗᒋᑦ."
A bunch of people told me not to eat there.," , ᐊᒥᓱᑦ , ᐃᓄᐃᑦ , ᐅᖃᓚᐅᕐᒪᑕ , ᓂᕆᖁᔭᐅᓇᖓ , ᑕᐃᑲᓂ."
A burglar broke into the shop yesterday.," , ᐃᑉᐸᒃᓴᕐᓗ , ᓴᓇᕝᕕᖕᒧᑦ , ᓱᕋᓚᐅᕐᒪᑦ."
A burning meteoroid produces a meteor.," , ᐃᑭᑎᑦᑎᓂᖅ , ᒥᖒᑎᒥᒃ , ᓴᖅᑭᑎᑦᑎᕗᖅ , ᑲᑎᓯᒪᔪᒥᒃ."
A butterfly is a mature caterpillar.," , ᐃᒻᒨᔮᖅᑐᖅ , ᐱᕈᖅᓯᒪᑦᑎᐊᖅᑐᖅ."
A button is missing.," , ᓇᕿᑦᑕᐅᑎᒥᒃ , ᐱᑕᖃᖏᑦᑐᖅ."
A cab is waiting.," , ᑖᒃᓯᒥᒃ , ᐅᑕᖅᑭᔪᖃᖅᑐᖅ."
A camel is to the desert what a ship is to the sea.," , ᑎᑭᕋᔮᖅᑐᖅ , ᐅᒥᐊᕐᔪᐊᖅ , ᑕᕆᐅᕐᒧᑦ."
A capital letter is used at the beginning of a sentence.," , ᐊᑭᑐᔫᑎᓄᑦ , ᑎᑎᖅᑲᖅ , ᐊᑐᖅᑕᐅᓲᖅ , ᑎᒍᔭᐅᓯᒪᓕᓵᖅᑎᓪᓗᒋᑦ."
A captain is in charge of his ship and its crew.," , ᑳᑉᑕᓐ , ᑲᒪᔨᐅᕗᖅ , ᐅᒥᐊᕐᔪᐊᖓᓂ , ᐊᒻᒪ , ᐱᓕᕆᔨᖏᓐᓂᒃ."
A car hit Tom.," , ᓄᓇᓯᐅᑎ , ᑖᒻᒧᐊᓚᐅᖅᑐᖅ."
A car is a must for life in the suburbs.," , ᓄᓇᓯᐅᑎ , ᐃᓅᓯᖃᕆᐊᖃᖅᐳᖅ , ᕐᑳᖓᓂ."
A car is faster than a bicycle.," , ᓄᓇᓯᐅᑎ , ᓱᒃᑲᓂᖅᓴᐅᔪᖅ , ᑐᒃᑲᕆᐊᓕᖕᒥᑦ."
A careful reader would have noticed the mistake.," , ᐅᖃᓕᒫᖅᑎᑦᑎᐊᕙᒃ , ᖃᐅᔨᓇᔭᓚᐅᖅᑐᖅ , ᑕᒻᒪᖅᑐᒥᒃ."
A cat always lands on its feet.," , ᐳᒃᑕᓛᓲᖅ , ᐃᓯᒐᒥᓄᑦ."
A cat appeared from under the desk.," , ᓵᖓᑕ , ᐊᑖᒎᖅᑐᖅ."
A cat came out from under the desk.," , ᓵᑉ , ᐊᑖᒎᖅᑐᖃᓚᐅᖅᑐᖅ."
A cat can see in the dark.," , cat−ᒥᒃ , ᑕᑯᔪᖃᕈᓐᓇᖅᐳᖅ , ᑖᖅᑐᒥᒃ."
A cat has a tail and four legs.," , cat , ᐸᒥᐅᖃᖅᑐᖅ , ᐊᒻᒪ , ᑎᓴᒪᓂᒃ , ᓂᐅᖃᖅᖢᓂ."
A cat has two ears.," , cat , ᒪᕐᕉᖕᓂᒃ , ᓯᐅᑎᖃᖅᑐᖅ."
A cat is not human.," , cat−ᒥᒃ , ᐃᓅᙱᓚᖅ."
A cat ran across the street.," , cat , ᐃᖏᕐᕋᓚᐅᖅᑐᖅ , ᐊᖅᑯᑎᒃᑯᑦ."
A cat scratched me.," , ᕿᑦᓵᖓᓕᓚᐅᖅᐳᖓ."
A centimeter is a unit of length.," , 1000-ᓂᒃ , ᑕᑭᓂᖃᖅᐳᖅ."
A century is one hundred years.," , 100 , ᐊᕐᕌᒍᐃᑦ."
A chain is no stronger than its weakest link.," , 2013-2014-ᒥ, , 2014-15-ᒥ, , 2015-16-ᒥ, , 2015-"
A child has a higher temperature than an adult does.," , ᓄᑕᕋᖅ , ᐆᓇᕐᓂᖅᓴᐅᒃᐸᑦ , ᐃᓐᓇᐅᑉ , ᐱᖃᑦᑕᖅᑕᖏᓐᓂᑦ."
A child is missing.," , ᓄᑕᕋᖅ , ᐃᓚᑰᔪᖅ."
A child needs a mother.," , ᓄᑕᕋᖅ , ᐊᓈᓇᖃᕆᐊᖃᖅᐳᖅ."
A child needs love.," , ᓄᑕᕋᖅ , ᓇᒡᓕᒋᔭᐅᔭᕆᐊᓕᒃ."
A clear conscience is the best pillow.," , ᑐᑭᓯᓇᑦᑎᐊᖅᑐᒥᒃ , ᖃᐅᔨᒪᓂᖅ , ᐱᐅᓛᖑᕗᖅ , ᐊᑭᓯᕐᒧᑦ."
A cloud floated across the sky.," , Cloud , ᐳᒃᑕᓛᖅᖢᓂ , ᓯᓚᒃᑯᑦ."
A coat is an article of clothing.," , ᑲᒫᓗᒃ , ᐊᓐᓄᕌᖑᕗᖅ."
A cobra bit Tom.," , cobra , bit , ᑖᒻ."
"A coke, please."," , ᑯᑮᒃ, , ᐊᑏ."
A computer can calculate very rapidly.," , ᖃᕆᑕᐅᔭᖅ , ᓈᓴᐅᓯᕆᑲᐅᖅᑐᕈᓐᓇᖅᑐᖅ."
A computer is an absolute necessity now.," , ᖃᕆᑕᐅᔭᖅ , ᐱᔭᕆᐊᖃᓪᓚᕆᓕᖅᑐᖅ , ᒫᓐᓇ."
A cookie is under the table.," , ᓯᒐᓛᕋᓛᓕᐅᖅᑐᖃᖅᑐᖅ , ᑭᐳᒥ."
A cow has a long tail.," , ᐊᕐᓇᓪᓗᒃ , ᐸᒥᐅᑯᑖᒃ , ᐸᒥᐅᓕᒃ."
A cow is a useful animal.," , ᐊᕐᓇᓪᓗᒃ , ᐊᑑᑎᖃᑦᑎᐊᖅᑐᖅ , ᓂᕐᔪᑎ."
A crazy thing just happened to me.," , ᖀᒥᒍᓱᓕᓚᐅᕋᒪ."
A crow is as black as coal.," , ᐃᓐᓈᕈᐃᑦ , ᕿᕐᓂᖅᑕᑎᑐᑦ."
A crowd was gathering around him.," , ᐃᓄᒋᐊᒃᑐᖅ , ᑲᑎᖦᖢᓂ , ᖃᓂᒋᔭᖓᓃᖦᖢᓂ."
"A cup of coffee, please."," , ᑳᐱᑐᕐᓂᐊᖅᑯᓯ."
A cup of hot soup relaxed me.," , ᐃᕐᖑᓯᖅ , ᐆᓇᖅᑐᒥᒃ , ᖃᔪᖅ , ᓴᐃᓕᑎᖦᖢᓂᖓ."
"A cup of tea, please."," , ᑏᑐᕐᓗᑎᑦ."
A customs declaration is required.," , ᐱᐅᓯᒃᑯᑦ , ᓱᓕᓂᕋᕈᑎᒥᒃ , ᐱᔭᕆᐊᖃᖅᐳᖅ."
"A day has 86,400 seconds."," , ᐅᓪᓗᖅ , 86,400 , ᓴᑲᓐᔅ."
A day has twenty-four hours.," , ᐅᓪᓗᖅ , 24-ᓂᒃ , ᐃᑲᕐᕋᓕᒃ."
A day without you is like a summer without the sun.," , ᐅᓪᓗᖅ , ᐊᐅᔭᒃᑯᑦ , ᓯᕿᓐᓂᖅᑰᔨᙱᖦᖢᑎᑦ."
A dead leaf fell to the ground.," , ᑐᖁᖓᔪᖅ , ᕿᓪᓕᖅᑐᖅ , ᓄᓇᒧᐊᓚᐅᖅᑐᖅ."
A detective arrived at the crime scene.," , ᖃᐅᔨᔭᐅᔪᖅ , ᑎᑭᖦᖢᓂ , ᐱᕋᔭᒡᕕᐅᔪᒥ."
A doctor told me that eating eggs was bad for me.," , ᓘᒃᑖᒧᑦ , ᐅᖃᐅᔾᔭᐅᓚᐅᕋᒪ , ᒪᓐᓃᑦ , ᒪᒪᙱᓐᓂᕋᖅᖢᓂᐅᒃ."
